,name,image,address,url,tuition_fee_min,tuition_fee_max,tuition_fee_currency,toefl,ielts,ielts_each_band,det,pte,intakes,duration
129,University of Kings College,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Kings_College.png,Canada,http://www.ukings.ca/,11000.0,15000.0,,80.0,6.0,6.0,115,59.0,Sept / Jan,2 years
130,University of Guelph,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Guelph.jpg,Canada,http://www.uoguelph.ca/,23000.0,24000.0,,89.0,6.5,6.0,110,60.0,Sept / Jan,1 or 2 years
131,University of Calgary,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Calgary.jpg,Canada,http://www.ucalgary.ca/,14000.0,17000.0,,86.0,6.5,6.0,125,59.0,Sept/ Jan/ May,1 or 2 years
132,University of Leicester,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Leicester.png,Uk,http://www.le.ac.uk/,20000.0,23000.0,,80.0,6.0,5.5,,61.0,Sept/ Jan,12-16 months / 2 years
133,University of Alberta,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Alberta.jpg,Canada,http://www.ualberta.ca/,11000.0,16000.0,,120.0,7.5,7.0,140,61.0,Sept/ Jan/ May,1 or 2 years
134,University Canada West,https://pathfinders-media.s3.amazonaws.com/university-logos/University_Canada_West.jpg,Canada,https://ucanwest.ca/,80000.0,,,88.0,6.5,6.0,110,61.0,Sept / Jan / May,2 years
135,Trent University,https://pathfinders-media.s3.amazonaws.com/university-logos/OIP.jpg,Canada,https://www.trentu.ca/,35000.0,40000.0,,73.0,6.5,6.0,,,Sept/ Jan,8 months - 1 year
136,St. Marys University,https://pathfinders-media.s3.amazonaws.com/university-logos/St._Marys_University.jpg,Canada,http://www.smu.ca/,28000.0,34000.0,,87.0,6.5,6.0,105,58.0,Sept / Jan,1 or 2 years
137,Simon Fraser University,https://pathfinders-media.s3.amazonaws.com/university-logos/Simon_Fraser_University.jpg,Canada,http://www.sfu.ca/,12000.0,24000.0,,95.0,7.0,6.5,125,65.0,Sept / Jan/ May,1 or 2 years
138,Memorial University of Newfoundland,https://pathfinders-media.s3.amazonaws.com/university-logos/Memorial_University.jpg,Canada,http://www.mun.ca/,12000.0,14000.0,,79.0,6.5,6.0,115,58.0,Sept / Jan,2 years
139,Mount Saint Vincent University,https://pathfinders-media.s3.amazonaws.com/university-logos/Mount_Saint_Vincent_University.png,Canada,http://www.msvu.ca/,110000.0,18000.0,,93.0,7.0,6.5,,58.0,Sept/ Jan /May,1 or 2 years
140,Nipissing University,https://pathfinders-media.s3.amazonaws.com/university-logos/Nipissing_University.png,Canada,http://www.nipissingu.ca/,21000.0,25000.0,,93.0,6.5,6.0,115,63.0,Sept / Jan,2 years
141,Ocad University,https://pathfinders-media.s3.amazonaws.com/university-logos/Ocad_University.png,Canada,http://www.ocadu.ca/,13000.0,16000.0,,88.0,6.5,6.0,115,,Sept/ Jan,1 or 2 years
142,Queens University,https://pathfinders-media.s3.amazonaws.com/university-logos/Queens_University.png,Canada,http://www.queensu.ca/,45000.0,58000.0,,88.0,6.5,6.0,110,60.0,Sept/ Jan /May,1 or 2 years
143,Ryerson University,https://pathfinders-media.s3.amazonaws.com/university-logos/Ryerson_University.png,Canada,http://www.ryerson.ca/,29000.0,39000.0,,79.0,6.5,6.0,100,63.0,Sept/ Jan / May,1 year
144,Sheridan College,https://pathfinders-media.s3.amazonaws.com/university-logos/Sheridan_College.png,Canada,https://www.sheridancollege.ca/,15000.0,26000.0,,88.0,6.5,6.0,115,60.0,Sept / Jan,1 or 2 years
145,University of British Columbia,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_British_Columbia.jpg,Canada,http://www.ubc.ca/,65000.0,,,90.0,6.5,6.0,135,65.0,Oct / Jan,10 months or 2 years
146,University of South Wales,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_South_wales.png,Uk,http://www.southwales.ac.uk/,15000.0,18000.0,,90.0,6.0,5.5,,60.0,Sept/ Jan/ May,1-2  years
147,University of Wolverhampton,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Wolverhampton.jpg,Uk,https://www.wlv.ac.uk/,13000.0,15000.0,,60.0,6.0,5.5,,50.0,Sept/ Jan/ May,12 months
148,Thompson Rivers University,https://pathfinders-media.s3.amazonaws.com/university-logos/Thompson_Rivers_University.jpg,Canada,http://www.tru.ca/,48000.0,52000.0,,88.0,6.5,6.0,115,58.0,Sept / Jan,2 years
149,Bishops University,https://pathfinders-media.s3.amazonaws.com/university-logos/Bishops_University.png,Canada,https://www.ubishops.ca/,19000.0,27000.0,,90.0,6.5,6.0,90,,Sept/ Jan,1 or 2 years
150,Cape Breton University,https://pathfinders-media.s3.amazonaws.com/university-logos/Cape_Breton_University.png,Canada,http://www.cbu.ca/,18000.0,21000.0,,80.0,6.5,6.0,120,59.0,Sept / Jan / May,1 or 2 years
151,International Language Academy of Canada,https://pathfinders-media.s3.amazonaws.com/university-logos/International_Language_Academy_of_canada.png,Canada,https://www.ilac.com/,20000.0,30000.0,,88.0,6.5,6.0,120,60.0,Sept / Jan,1 or 2 years
152,Mount Allison University,https://pathfinders-media.s3.amazonaws.com/university-logos/Mount_Allison_University.png,Canada,http://www.mta.ca/,19000.0,21000.0,,90.0,6.5,6.0,110,60.0,Sept / Jan,1 or 2 years
153,Royal Roads University,https://pathfinders-media.s3.amazonaws.com/university-logos/Royal_Roads_University.png,Canada,http://www.royalroads.ca/,14000.0,27000.0,,100.0,7.0,6.5,,68.0,Sept / Jan,2 years
154,Glyndwr University,https://pathfinders-media.s3.amazonaws.com/university-logos/Glyndwr_University.png,Uk,http://www.glyndwr.ac.uk/,13000.0,15000.0,,79.0,6.0,0.5,,54.0,Sept/ Jan,1 or 2 years
155,City University London,https://pathfinders-media.s3.amazonaws.com/university-logos/City_University_London.png,Uk,http://www.city.ac.uk/,14000.0,24000.0,,72.0,6.0,5.5,,59.0,Sept,12 months or 2 years
156,Bournemouth University,https://pathfinders-media.s3.amazonaws.com/university-logos/Bournemouth_University.jpg,Uk,http://www.bournemouth.ac.uk/,16000.0,18000.0,,92.0,6.0,5.5,,62.0,Sept/Jan/May,1 or 2 years
157,University of York,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_York.png,Uk,http://www.york.ac.uk/,18000.0,25000.0,,87.0,6.5,6.0,,61.0,Sept/Jan/May,12 months or 2 years
